#,taster_id,taster_name,taster_twitter_handle
1,,,
2,51b73493ccd17e9d2b1a2ac8c77bfadb,Matt Kettmann,@mattkettmann
3,fd5f2a59be50b551c4ca94559eb9afa9,Fiona Adams,@bkfiona
4,153b1d22b8c2b0662c8978ccf4b8e272,Joe Czerwinski,@JoeCz
5,6a225134ff68a9bfd397724b678c519d,Susan Kostrzewa,@suskostrzewa
6,d2716501c6d229fc1a91c345624ffe74,Jeff Jenssen,@worldwineguys
7,,Alexander Peartree,
8,13377ca9859642e76c96c602971b99fe,Kerin O’Keefe,@kerinokeefe
9,d2716501c6d229fc1a91c345624ffe74,Mike DeSimone,@worldwineguys
10,13a7861f84569189e575d6ecddea8c73,Lauren Buzzeo,@laurbuzz
11,988814b12763d23e2caceaef2bdaa065,Jim Gordon,@gordone_cellars
12,0b2e311d84fbb71be79b46d91a863b47,Sean P. Sullivan,@wawinereport
13,62d10d7ccffb280dcb7fabda3ecd2f0a,Michael Schachner,@wineschach
14,e25ec5006bbf4d6067f2d72321cf9e58,Roger Voss,@vossroger
15,,Carrie Dykes,
16,3c1dfe04e31b93ce1036bdcd7e5d22af,Anne Krebiehl MW,@AnneInVino
17,,Anna Lee C. Iijima,
18,68f16e099d65a965ac4103164045236b,Paul Gregutt,@paulgwine 
19,cf414ee6a48001993dee701216242651,Virginie Boone,@vboone
20,2d338dbd5675956326e4b0ae9e8740d3,Christina Pickard,@winewchristina
